Blattner	Uniprot
b1838	P55798
b2528	P0AAC8
b2020	P06988
b0024	P75620
b1536	P31130
b3807	P27838
b4669	C1P619
b0584	P05825
b2712	P30131
b1102	P16869
b2024	P10371
b4522	P0CB62
b1205	P0AB49
b2214	P0AB85
b4305	P39366
b2449	P76549
b2138	P33369
b1881	P0A9H9
b4260	P68767
b2026	P06989
b3537	P0ADJ5
b4379	P39409
b3024	P0ADU5
b2894	P0A8P8
b2158	P62723
b2355	P76508
b3966	P06129
b0962	P15038
b2025	P60664
b3598	P32108
b2828	P60955
b1203	P0ABU2
b1863	P0A814
b0012	P28697
b1579	P76168
b3829	P25665
b3287	P0A6K3
b4312	P0ADH5
b2022	P06987
b3038	P0ADT5
b1129	P23837
b0006	P0A8I3
b2565	P0A7H3
b0050	P62672
b1547	P77515
b4013	P07623
b2819	P04993
b3469	P37617
b3211	P0ADW6
b2734	P55799
b2358	P0AD35
b1861	P0A809
b2970	Q46834
b1360	P77546
b0260	Q47689
b0835	P0AEI4
b2699	P0A7G6
b0698	P03959
b2853	Q46789
b3859	P0C0K3
b2301	P77544
b4389	P24554
b2650	P76613
b1144	P75973
b4019	P13009
b1712	P0A6X7
b4242	P0ABB8
b2345	P76505
b0168	P0AE18
b0459	P77791
b4059	P0AGE0
b2016	P0AD12
b0552	P0CE50
b0261	Q47690
b0902	P0A9N4
b4313	P0ADH7
b0697	P03960
b4325	P39374
b2584	P76594
b4137	P69488
b1860	P0A812
b1796	P64496
b0276	P77169
b3008	P06721
b0618	P77390
b2820	P08394
b4513	P36937
b3378	P64631
b2993	P37182
b3615	P11290
b2698	P33596
b1671	P77375
b0249	P75677
b0912	P0A6Y1
b0696	P03961
b1449	P76113
b2362	P76515
b3811	P0A8P6
b1313	P76043
b0266	P37008
b2340	P76502
b3261	P0A6R3
b3572	P09053
b1029	P75910
b0731	P54745
b2302	P77526
b0472	P0A7H6
b0689	P75737
b1577	Q47138
b2616	P05824
b2290	P0A959
b0317	P77219
b1427	P13857
b1971	P76342
b2822	P07648
b4526	P38394
b1351	P15033
b4018	P16528
b2379	P77434
b4621	P58036
b1212	P0ACC1
b4602	A5A618
b4015	P0A9G6
b4547	Q2EET2
b4306	P39367
b4373	P0A944
b4014	P08997
b1190	P29012
b1220	P39165
b3826	P27848
b4016	P11071
b3490	P37629
b2635	P52134
b4237	P0A9N8
b4345	P15006
b4053	P0A6B4
b2122	P33353
b1710	P06610
b4350	P08956
b3716	P31468
b2446	P76546
b4351	P24202
b3989	P27375
b2962	P0A8P3
b4348	P05719
b2605	P07021
b2351	P77293
b1961	P0AED9
b3731	P0A6E6
b3152	P45469
b2897	P64559
b1445	P64453
b1335	P0AFH0
b2940	P64570
b1567	P76164
b0905	P75838
b4346	P15005
b3733	P0ABA6
b2844	Q46939
b3952	P32675
b2354	P77656
b4349	P08957
b2549	P76585
b1544	P76154
b1222	P0AFA2
b2942	P0A817
b3732	P0ABB4
b2275	P76486
b2097	P0A991
b2916	P0A8S1
b1974	P76345
b1357	P76063
b2674	P0A772
b0231	Q47155
b3734	P0ABB0
b4256	P39337
b3919	P0A858
b1184	P04152
b1774	P77280
b1141	P75970
b2991	P0A703
b0470	P06710
b3735	P0ABA4
b3267	P64622
b2753	P10423
b0767	P52697
b0687	P0AFY8
b1647	P76187
b0549	P68661
b1274	P06612
b3737	P68699
b1435	P76104
b2029	P00350
b3701	P0A988
b1268	P45848
b1557	P36995
b2219	Q06067
b1842	P0ABS8
b3739	P0ABC0
b0989	P0A982
b1852	P0AC53
b3822	P15043
b0493	P0AFP4
b1572	P29009
b0975	P19930
b4361	P0AEF0
b3736	P0ABA0
b0295	P56257
b2060	P76387
b3491	P37630
b4259	P28905
b0240	P24251
b4281	P39354
b2330	P39199
b0467	P23862
b3769	P0ADG1
b3088	P42601
b3387	P0AEE8
b4521	P76000
b2632	P52131
b1066	P0A948
b3742	P03817
b3672	P03061
b2798	P38506
b3404	P0AEJ4
b1826	P64512
b0060	P21189
b1001	P36661
b2443	P76543
b1783	P0ACY3
b3019	P0AFI2
b3671	P08142
b4047	P32693
b2236	P0ABW3
b1493	P69910
b2496	P69931
b3646	P0AGM2
b2082	P37057
b3259	P0A8T1
b1183	P0AG11
b3670	P0ADF8
b1242	P25743
b4189	P39297
b2231	P0AES4
b1088	P0AB28
b1560	P76162
b1884	P07364
b0892	P0AAZ4
b0078	P00894
b3107	P42625
b3029	P0ADU2
b1763	P14294
b2887	Q46820
b1373	P77163
b0982	P0ACZ2
b0215	P03007
b3774	P05793
b2809	P65292
b2126	P0AD14
b4131	P0A9H3
b2009	P33012
b2534	P77538
b1346	P76057
b3291	P0A742
b1128	P27431
b3778	P09980
b0077	P00893
b2271	P76482
b4399	P08401
b1953	P64519
b0184	P10443
b1952	P0AEG8
b0949	P43672
b1890	P09348
b3722	P08722
b4372	P28632
b3771	P05791
b4248	P39332
b1048	P33136
b3511	P0AET5
b3700	P0A7H0
b1758	P76226
b0546	P77634
b0465	P77338
b3702	P03004
b3766	P62522
b3219	P45422
b1047	P75920
b1597	P36560
b4396	P0ACI0
b1542	P77260
b4588	Q47268
b1250	P31069
b2597	P0AD49
b3935	P17888
b3772	P04968
b1505	P76137
b3307	P0AG59
b3509	P0AET2
b3030	P20083
b1420	P76096
b0814	P0A917
b1889	P0AF06
b1089	P0A7N4
b3813	P03018
b0197	P28635
b1180	P76004
b3231	P0AA10
b1058	P64442
b3699	P0AES6
b0876	P75828
b1561	P07010
b1592	P76175
b3168	P0A705
b3149	P66817
b0655	P37902
b0380	P0AAQ0
b0097	P62395
b4011	P09162
b1610	P16525
b0227	Q47151
b0741	P0A912
b0155	P37019
b3297	P0A7R9
b4362	P0A8J2
b3751	P02925
b4684	C1P614
b3312	P0A7M6
b3517	P69908
b0393	P36767
b4594	A5A612
b2629	P52128
b2924	P0C0S1
b3985	P0A7J3
b0214	P0A7Y4
b1901	P02924
b1915	P0AD07
b3340	P0A6M8
b3238	P64614
b3066	P0ABS5
b1100	P0AFQ7
b1555	P76160
b0875	P60844
b0659	P0A898
b1099	P28631
b3200	P0ADV1
b2944	P39902
b0170	P0A6P1
b2939	P64567
b3652	P24230
b3888	P0ADQ2
b1370	P76071
b4159	P39285
b3306	P0A7W7
b4052	P0ACB0
b3566	P37387
b3284	P0A828
b3309	P60624
b4117	P28629
b0640	P28630
b3003	P0AG84
b1155	P09154
b0808	P75783
b3308	P62399
b4201	P07013
b1920	P0AEM9
b0122	P0AA95
b4550	P36675
b1824	P64508
b0880	P0A968
b3050	P76657
b0561	P77699
b4311	P69856
b3486	P37624
b3863	P00582
b4034	P0AEX9
b2872	P65807
b3065	P68679
b2237	P27294
b2776	P55138
b0542	P75718
b1037	P0AEA2
b3303	P0A7W1
b2976	P37330
b1516	P76142
b2490	P77453
b1716	P0A7L3
b0287	P0AAA1
b1850	P0A955
b2145	P64536
b0257	P75680
b1330	P0AEB5
b3317	P60422
b0509	P77161
b3476	P33590
b1877	P76296
b3186	P0AG48
b1581	P38104
b0114	P0AFG8
b4127	P39274
b4510	P58041
b0577	P0AAT4
b3871	P32132
b0966	P0AB20
b1329	P77348
b1730	P76210
b4202	P0A7T7
b3506	P37194
b0799	P27296
b1472	P77519
b1348	P33229
b0169	P0A7V0
b1759	P77788
b0854	P31133
b1382	P64448
b3294	P0AG44
b2781	P0AEY3
b1347	P33230
b1171	P0AB46
b1159	P24200
b2891	P07012
b0923	P22524
b4290	P15028
b0858	P0AAZ0
b0637	P0AAT6
b4599	A5A616
b2954	P52061
b0371	P77199
b2643	P52139
b1131	P0AB89
b1717	P0A7Q1
b0922	P60293
b0830	P75797
b0218	P77354
b3165	P0ADZ4
b3228	P0AFZ3
b3647	P25772
b4683	C1P613
b2626	P52125
b2499	P08178
b3636	P0A7N9
b3421	P46850
b1294	Q47622
b4590	P46121
b3310	P0ADY3
b1580	P38105
b0599	P45579
b2359	P76512
b4005	P15640
b1718	P0A707
b1123	P0AFK9
b3573	P56256
b1282	P08245
b2188	P0AD27
b2002	P76362
b1849	P33221
b3342	P0A7S3
b2548	P77269
b4186	P33222
b3302	P0AG51
b0720	P0ABH7
b3484	P28912
b1366	P76069
b2500	P08179
b3983	P0A7J7
b0039	P60584
b4088	P39265
b4223	P08339
b1612	P0AC33
b0043	P68644
b4107	P16681
b1151	P75980
b0522	P09029
b3339	P0CE47
b0036	P31551
b1754	P76223
b2986	Q46844
b3230	P0A7X3
b0728	P0A836
b0044	P68646
b2862	Q46796
b0523	P0AG18
b2185	P68919
b0038	P31572
b2309	P0AEU0
b2767	Q46905
b3305	P0AG55
b1136	P08200
b0035	P39206
b2408	P45564
b2557	P15254
b0145	P0ABS1
b1518	P64461
b2131	P33362
b2099	P76418
b4391	P0A9W3
b0118	P36683
b0836	P0AAY1
b4354	P39396
b2312	P0AG16
b3591	P0A821
b1060	P0AB33
b0592	P0AEL6
b1836	P64503
b4200	P02358
b0729	P0AGE9
b3446	P46857
b2476	P0A7D7
b3315	P61175
b2679	P0AFM2
b1687	P77748
b3320	P60438
b0726	P0AFG3
b1459	P76119
b3191	P64602
b3185	P0A7L8
b1771	P77256
b3020	Q46863
b1327	P76049
b3686	P0C058
b0927	P75849
b1164	P75991
b2109	P33341
b3316	P0A7U3
b1415	P25553
b4227	P39325
b0791	P0AAW5
b3314	P0A7V3
b3153	P45470
b1781	P76234
b0327	P75692
b2346	P76506
b3304	P0C018
b0963	P0A731
b1857	P39172
b0187	P52096
b1204	P0A7D1
b1552	P0A986
b0207	P30863
b4670	C1P621
b1051	P25738
b1480	P68191
b3012	Q46857
b0158	P37028
b4523	P58094
b3299	P0A7Q6
b3400	P0ACG8
b1651	P0AC81
b0056	P39220
b1342	P64423
b2609	P0A7T3
b0212	P0AC84
b1487	P76128
b3538	P37659
b3703	P0A7P5
b3687	P0C054
b1009	P75895
b2160	P33020
b0587	P26266
b3301	P02413
b3202	P24255
b2177	P33913
b0498	P33668
b2569	P60785
b0990	P0A978
b0873	P75825
b3483	P28911
b0950	P0AFL9
b3298	P0A7S9
b3367	P0AC26
b0152	P07822
b3039	P24197
b3936	P0A7M9
b1829	P23894
b3212	P09831
b2971	Q46835
b4218	P0AE45
b3073	P42588
b1310	P76042
b2856	Q46791
b0884	P69222
b2719	P16433
b1444	P77674
b2659	P76621
b3162	P0A9P6
b3980	P0CE48
b3458	P04816
b2347	P37327
b3321	P0A7R5
b1380	P52643
b1010	P0AFQ5
b2071	P76394
b2511	P0A6P5
b3192	P0ADV7
b3637	P0A7M2
b0167	P27249
b3770	P0AB80
b4329	P0AEH8
b4203	P0A7R1
b2722	P16430
b1007	P75893
b1802	P0ABR7
b3170	P0A8A8
b3193	P64604
b0172	P0A805
b4093	P16691
b0072	P0A6A6
b3383	P45552
b0191	P40711
b3061	P05847
b3213	P09832
b1673	P76192
b4173	P25519
b2682	P76630
b3590	P14081
b0074	P09151
b1454	P76117
b3341	P02359
b1854	P21599
b1748	P77581
b1314	P76044
b2576	P21507
b1833	P0AD03
b3318	P0ADZ0
b0073	P30125
b1085	P62066
b3319	P60723
b2718	P0AEV7
b1011	P75897
b0753	P0AAV6
b3180	P0AGK4
b3661	P04846
b0953	P0AFW2
b3053	P30870
b0075	P0AD79
b0319	P77297
b4375	P0A7I4
b1241	P0A9Q7
b1008	P75894
b4622	A5A630
b4161	P39286
b0951	P43671
b0023	P0A7U7
b1223	P10903
b3460	P0AD96
b4548	P58033
b3296	P0A7V8
b2721	P16431
b3055	P0ADT8
b1343	P21693
b4261	P0AF98
b2606	P0A7K6
b1988	Q47005
b0071	P30126
b3492	P37631
b3984	P0A7L0
b3062	P0AC35
b1539	P39831
b2123	P33354
b0573	P77214
b3203	P0AFX0
b1012	P75898
b4054	P04693
b1271	P31808
b3311	P0AG63
b2724	P0AAK1
b1469	P37758
b4482	P27840
b0941	P75858
b3240	P46481
b0911	P0AG67
b0340	P00816
b1311	P0AFR7
b2823	P08372
b3313	P0ADY7
b1676	P0AD61
b0339	P0ABE9
b3159	P45475
b2825	P08371
b3410	P64638
b1211	P0A7I0
b0341	P17583
b3543	P0AEF8
b2941	P46879
b1113	P75954
b4122	P14407
b1757	P78067
b2849	P77136
b0293	P0AAA3
b2683	P43667
b1830	P23865
b3678	P31447
b3485	P0AGH1
b2562	P52102
b0381	P0A6J8
b0903	P09373
b4214	P22255
b2299	P65556
b4318	P08189
b1834	P76272
b0819	P0AAX8
b1681	P77689
b1244	P0AFH2
b1995	P76356
b0090	P17443
b2720	P16432
b1684	P77667
b4263	P39342
b3142	P42913
b0952	P0AB10
b1856	P0AFS9
b1498	P77318
b2307	P0AEU3
b1776	P77539
b3208	P46022
b0356	P25437
b2424	P16701
b3353	P45524
b0719	P37909
b0598	P15078
b2134	P0AFI5
b0367	Q47539
b1859	P39832
b1668	P77148
b0088	P14900
b2723	P16429
b2764	P38038
b2334	P76500
b0795	P75777
b2519	P76577
b2810	Q46925
b0856	P31135
b1097	P28306
b1611	P05042
b0368	P37610
b0136	P37016
b3241	P46482
b1782	P0A908
b2752	P21156
b4033	P02916
b0925	P22525
b3956	P00864
b1919	P76316
b1503	P77294
b0328	P75693
b1677	P69776
b4083	P32717
b2546	P77315
b1488	P77790
b4376	P0AFH8
b3801	P25549
b2111	P33343
b0092	P07862
b1682	P77499
b0792	P0AFP9
b0841	P75806
b2665	P0ADE6
b2521	P31142
b0942	P75859
b1278	P0A924
b1679	P76194
b2308	P52094
b4150	P00811
b4410	P0ADB4
b2423	P0AEB0
b0135	P31058
b0920	P0AB01
b0935	P80645
b1515	P0AFS1
b0085	P22188
b1283	P0ADA7
b2751	P23845
b0137	P37017
b0530	P0ABW5
b2817	P63883
b2811	P0AGF2
b1292	P0AGH5
b0635	P0AD65
b2952	P64564
b0365	Q47537
b4319	P08190
b1990	P39176
b2762	P17854
b3750	P0AGI1
b3189	P0A749
b4411	P0ADB7
b1987	Q47083
b3145	P43319
b2328	P0C0T5
b0590	P23876
b1655	P76190
b1482	P0C0L2
b2422	P16676
b3043	P39834
b3967	P22634
b1683	P77522
b1485	P77463
b0084	P0AD68
b1049	P62517
b2522	P0AFZ1
b4317	P30130
b1105	P0AB38
b2413	P0A6J3
b3194	P64606
b3396	P02918
b0239	P04335
b1680	P77444
b2335	P76501
b2291	P76491
b3182	P24228
b3917	P0AG78
b2178	P0AFU0
b0174	P60472
b0428	P0AEA5
b0937	P80644
b0138	P37018
b4246	P0AD83
b3147	P45464
b2425	P16700
b2678	P14176
b2435	P36548
b3398	P45800
b0366	Q47538
b4314	P04128
b3642	P0A7E3
b0091	P17952
b2763	P17846
b1312	P77716
b2175	P0AFV4
b4682	C1P612
b2529	P0ACD4
b1504	P77789
b2166	P30235
b4169	P26365
b0933	P0AAI1
b3542	P0AEG1
b0087	P0A6W3
b1973	P76344
b2750	P0A6J1
b2826	P33554
b1062	P05020
b1678	P76193
b2799	P0A9S1
b4086	P32720
b3972	P08373
b3494	P0A8S5
b4468	P52073
b0943	P75860
b0032	P0A6F1
b1714	P08312
b0507	P0AEP7
b1245	P0AFH6
b2890	P0A8N3
b1489	P76129
b2979	P0AEP9
b4315	P39264
b0323	P77624
b0481	P0AAR3
b4467	P52074
b4460	P0AE26
b2514	P60906
b1112	P0AB40
b0514	P77364
b0938	P75855
b0945	P0A7E1
b1637	P0AGJ9
b3726	P07654
b1116	P0ADC3
b2400	P04805
b1333	P0AAC0
b4101	P16685
b0534	P38052
b0033	P00968
b0893	P0A8L1
b0934	P75851
b4231	P37772
b1866	P21889
b3251	P0A9X4
b3724	P0A9K7
b2339	P77288
b1207	P0A717
b1713	P07395
b3493	P0AFJ7
b0857	P0AFL1
b2697	P00957
b4252	P0AF96
b0141	P37050
b4245	P0A786
b4129	P0A8N5
b0384	P0AFM4
b4032	P68183
b0026	P00956
b4409	P56976
b4094	P16690
b2333	P76499
b0675	P0AF24
b4258	P07118
b3453	P0AG80
b3199	P0ADV9
b3560	P00960
b2503	P77172
b4097	P16678
b0108	P36647
b2881	Q46814
b1719	P0A8M3
b3725	P0AAH0
b0793	P0AFQ2
b0526	P21888
b0466	P45807
b4100	P16686
b2108	P33340
b2868	Q46801
b0194	P16659
b0936	P75853
b3568	P0AGI4
b1876	P11875
b3923	P0AAB8
b3821	P0A921
b2321	P15286
b2867	Q46800
b2114	P00959
b2987	P43676
b3457	P0AEX7
b0642	P07813
b0762	P0AAW9
b0400	P08400
b3627	P27128
b2866	Q46799
b1715	P0AD74
b2502	P0AFL6
b1755	P76224
b3559	P00961
b0296	P0A7N1
b4092	P16692
b3626	P27129
b4374	P0A8Y1
b3384	P00954
b3450	P10907
b1293	P0AGH3
b0680	P00962
b1895	P46888
b4096	P16679
b3561	P37669
b3996	P32664
b0930	P0A8M0
b3727	P0AGH8
b3477	P33591
b3430	P0A6V1
b0853	P0AAY6
b4099	P16687
b3628	P27127
b0363	Q47536
b4226	P0A7A9
b0589	P23877
b3428	P0AC86
b0471	P0A8B5
b4102	P16684
b3790	P27832
b3429	P0A6U8
b3728	P0AG82
b1486	P77308
b3049	P26649
b2501	P0A7B1
b2716	P24240
b3432	P07762
b0383	P00634
b3269	P45767
b1440	P76108
b3451	P10906
b4310	P39371
b1023	P75906
b4095	P16689
b2179	P33915
b1022	P75905
b3452	P10905
b2843	Q46938
b0776	P12998
b1021	P69432
b4098	P16688
b4289	P15030
b3534	P37655
b0517	P77555
b1398	P76085
b0775	P12996
b3533	P37653
b0512	P77671
b1442	P77156
b3532	P37652
b0515	P75713
b3693	P31459
b3412	P13001
b4029	P32689
b0516	P77425
b2128	P33359
b4028	P32688
b0505	P77731
b4268	P39208
b0777	P12999
b4027	P32687
b2374	P69902
b1125	P0AFK4
b4026	P0AF45
b1588	P77783
b3124	P23524
b1593	P0A6E9
b3249	P0ABH4
b1337	P76052
b1118	P75958
b3250	P16926
b2483	P77858
b3825	P07000
b4037	P03841
