E_coli_K12_W3110_lambdaRed	E_coli_K12_W3110	W3110-Name	W3110-Accession	MG1655-ID	Blattner	W3110-startbase	W3110-endbase	W3110-strand	MG1655-startbase	MG1655-endbase	MG1655-strand	sort_order
W3110_lambdaRed.CDS.1887	JW2014	insH-7	ECK0261	NIL	NIL	2104032	2105048	-	NIL	NIL	NIL	1887
W3110_lambdaRed.CDS.1887	JW2179	insH-8	ECK0261	NIL	NIL	2292399	2293415	-	NIL	NIL	NIL	1887
W3110_lambdaRed.CDS.1887	JW2949	insH-9	ECK0261	NIL	NIL	3128834	3129850	+	NIL	NIL	NIL	1887
W3110_lambdaRed.CDS.1887	JW3185	insH-10	ECK0261	NIL	NIL	3365557	3366573	-	NIL	NIL	NIL	1887
W3110_lambdaRed.CDS.1887	JW3472	insH-11	ECK0261	NIL	NIL	3987217	3988233	+	NIL	NIL	NIL	1887
W3110_lambdaRed.CDS.1888	JW1884	uspC	ECK1894	G7031	b1895	1981890	1982318	+	1979753	1980181	+	1888
W3110_lambdaRed.CDS.1889	JW5312	otsA	ECK1895	EG11751	b1896	1982325	1983749	-	1980188	1981612	-	1889
W3110_lambdaRed.CDS.189	JW0183	tilS	ECK0187	G6096	b0188	212331	213629	+	212331	213629	+	189
W3110_lambdaRed.CDS.1890	JW1886	otsB	ECK1896	EG11752	b1897	1983724	1984524	-	1981587	1982387	-	1890
W3110_lambdaRed.CDS.1924	JW1917	yedL	ECK1931	G7040	b1932	2012737	2013216	+	2010600	2011079	+	1924
W3110_lambdaRed.CDS.1925	JW1921	fliE	ECK1935	EG11346	b1937	2014837	2015151	-	2012700	2013014	-	1925
W3110_lambdaRed.CDS.1926	JW1922	fliF	ECK1936	EG11347	b1938	2015366	2017024	+	2013229	2014887	+	1926
W3110_lambdaRed.CDS.1927	JW1923	fliG	ECK1937	EG11654	b1939	2017017	2018012	+	2014880	2015875	+	1927
W3110_lambdaRed.CDS.1960	JW1954	yedY	ECK1967	G7059	b1971	2041615	2042619	+	2039478	2040482	+	1960
W3110_lambdaRed.CDS.1961	JW1955	yedZ	ECK1968	G7060	b1972	2042620	2043255	+	2040483	2041118	+	1961
W3110_lambdaRed.CDS.1962	JW1956	zinT	ECK1969	G7061	b1973	2043512	2044162	+	2041375	2042025	+	1962
W3110_lambdaRed.CDS.1963	JW5323	yodB	ECK1970	G7062	b1974	2044505	2045035	+	2042368	2042898	+	1963
W3110_lambdaRed.CDS.1964	JW1958	mtfA	ECK1972	G7063	b1976	2045788	2046585	+	2043651	2044448	+	1964
W3110_lambdaRed.CDS.1965	JW5833	yeeJ	ECK1974	G7064	b1978	2047048	2054151	+	2044938	2052014	+	1965
W3110_lambdaRed.CDS.1966	JW1961+JW5325	ECK1975:JW1961+JW5325:b44	ECK1975	NIL	NIL	2054413	2055465	-	NIL	NIL	NIL	1966
W3110_lambdaRed.CDS.1967	JW1962	shiA	ECK1976	G7067	b1981	2055780	2057096	+	2053643	2054959	+	1967
W3110_lambdaRed.CDS.1968	JW1963	amn	ECK1977	EG10039	b1982	2057198	2058652	+	2055061	2056515	+	1968
W3110_lambdaRed.CDS.1969	JW1964	yeeN	ECK1978	G7068	b1983	2058995	2059711	+	2056858	2057574	+	1969
W3110_lambdaRed.CDS.197	JW0191	yaeB	ECK0195	EG11503	b0195	218887	219594	-	218887	219594	-	197
W3110_lambdaRed.CDS.961	JW0939	matP	ECK0947	EG12855	b0956	1018907	1019359	+	1018485	1018937	+	961
W3110_lambdaRed.CDS.1971	JW1966	cbl	ECK1982	G7071	b1987	2062101	2063051	-	2059964	2060914	-	1971
W3110_lambdaRed.CDS.1972	JW1967	nac	ECK1983	G7072	b1988	2063153	2064070	-	2061016	2061933	-	1972
W3110_lambdaRed.CDS.1973	JW1968	erfK	ECK1985	G7073	b1990	2064528	2065460	-	2062391	2063323	-	1973
W3110_lambdaRed.CDS.1974	JW1969	cobT	ECK1986	EG12151	b1991	2065525	2066604	-	2063388	2064467	-	1974
W3110_lambdaRed.CDS.1975	JW1970	cobS	ECK1987	EG12150	b1992	2066616	2067359	-	2064479	2065222	-	1975
W3110_lambdaRed.CDS.1976	JW1971	cobU	ECK1988	EG13238	b1993	2067356	2067901	-	2065219	2065764	-	1976
W3110_lambdaRed.CDS.1978	JW1972	insH-6	ECK0261	NIL	NIL	2068442	2069458	-	NIL	NIL	NIL	1978
W3110_lambdaRed.CDS.198	JW0192	rcsF	ECK0196	EG11502	b0196	219591	219995	-	219591	219995	-	198
W3110_lambdaRed.CDS.1981	JW0352	insD-1	ECK0358	G0-10543	NIL	380898	381803	+	2068952	2070180	-	1981
W3110_lambdaRed.CDS.1981	JW1397	insD-1	ECK0358	NIL	NIL	1469635	1470540	-	NIL	NIL	NIL	1981
W3110_lambdaRed.CDS.1981	JW1975	insD-1	ECK0358	NIL	NIL	2071089	2071994	-	NIL	NIL	NIL	1981
W3110_lambdaRed.CDS.1981	JW2826	insD-1	ECK0358	NIL	NIL	2995028	2995933	-	NIL	NIL	NIL	1981
W3110_lambdaRed.CDS.1981	JW3013	insD-1	ECK0358	NIL	NIL	3185166	3186071	+	NIL	NIL	NIL	1981
W3110_lambdaRed.CDS.1981	JW4230	insD-1	ECK0358	NIL	NIL	4503275	4504180	+	NIL	NIL	NIL	1981
W3110_lambdaRed.CDS.960	JW0938	ycbZ	ECK0946	G6493	b0955	1016961	1018721	-	1016539	1018299	-	960
W3110_lambdaRed.CDS.1985	JW1982	flu	ECK1993	G7080	b2000	2073676	2076795	+	2071539	2074658	+	1985
W3110_lambdaRed.CDS.1986	JW1983	yeeR	ECK1994	G7081	b2001	2076916	2078448	+	2074779	2076311	+	1986
W3110_lambdaRed.CDS.196	JW0190	proS	ECK0194	EG10770	b0194	217057	218775	-	217057	218775	-	196
W3110_lambdaRed.CDS.1959	JW1953	yedX	ECK1966	G7058	b1970	2041093	2041506	+	2038956	2039369	+	1959
W3110_lambdaRed.CDS.1958	JW5322	yedW	ECK1965	G7057	b1969	2040289	2040960	-	2038152	2038823	-	1958
W3110_lambdaRed.CDS.1940	JW1935	rcsA	ECK1949	EG10820	b1951	2026105	2026728	+	2023968	2024591	+	1940
W3110_lambdaRed.CDS.1928	JW1924	fliH	ECK1938	EG11656	b1940	2018005	2018691	+	2015868	2016554	+	1928
W3110_lambdaRed.CDS.1929	JW1925	fliI	ECK1939	G377	b1941	2018691	2020064	+	2016554	2017927	+	1929
W3110_lambdaRed.CDS.193	JW0187	arfB	ECK0191	EG12354	b0191	214833	215255	+	214833	215255	+	193
W3110_lambdaRed.CDS.1930	JW1926	fliJ	ECK1940	G378	b1942	2020083	2020526	+	2017946	2018389	+	1930
W3110_lambdaRed.CDS.1931	JW1927	fliK	ECK1941	G379	b1943	2020523	2021650	+	2018386	2019513	+	1931
W3110_lambdaRed.CDS.1932	JW1928	fliL	ECK1942	EG10322	b1944	2021755	2022219	+	2019618	2020082	+	1932
W3110_lambdaRed.CDS.1933	JW1929	fliM	ECK1943	EG10323	b1945	2022224	2023228	+	2020087	2021091	+	1933
W3110_lambdaRed.CDS.1934	JW1930	fliN	ECK1944	EG10324	b1946	2023225	2023638	+	2021088	2021501	+	1934
W3110_lambdaRed.CDS.964	JW0942	sxy	ECK0950	G6494	b0959	1021560	1022189	+	1021138	1021767	+	964
W3110_lambdaRed.CDS.1937	JW1932	fliP	ECK1946	EG11975	b1948	2024006	2024743	+	2021869	2022606	+	1937
W3110_lambdaRed.CDS.1938	JW1933	fliQ	ECK1947	EG11976	b1949	2024753	2025022	+	2022616	2022885	+	1938
W3110_lambdaRed.CDS.1939	JW1934	fliR	ECK1948	EG11977	b1950	2025030	2025815	+	2022893	2023678	+	1939
W3110_lambdaRed.CDS.194	JW0188	nlpE	ECK0192	EG12137	b0192	215269	215979	+	215269	215979	+	194
W3110_lambdaRed.CDS.1941	JW1936	dsrB	ECK1950	G7045	b1952	2026772	2026960	-	2024635	2024823	-	1941
W3110_lambdaRed.CDS.962	JW0940	ompA	ECK0948	EG10669	b0957	1019435	1020475	-	1019013	1020053	-	962
W3110_lambdaRed.CDS.1942	JW5317	yodD	ECK1951	G7046	b1953	2027123	2027350	+	2024986	2025213	+	1942
W3110_lambdaRed.CDS.1943	JW1938	yedP	ECK1953	G7048	b1955	2027648	2028463	+	2025511	2026326	+	1943
W3110_lambdaRed.CDS.1944	JW5832	yedQ	ECK1954	G7049	b1956	2028460	2030154	-	2026323	2028017	-	1944
W3110_lambdaRed.CDS.1945	JW1940	yodC	ECK1955	G7050	b1957	2030325	2030507	-	2028188	2028370	-	1945
W3110_lambdaRed.CDS.963	JW0941	sulA	ECK0949	EG10984	b0958	1020832	1021341	-	1020410	1020919	-	963
W3110_lambdaRed.CDS.1947	JW1942	yedA	ECK1957	EG11141	b1959	2031676	2032596	+	2029539	2030459	+	1947
W3110_lambdaRed.CDS.1948	JW1943	vsr	ECK1958	EG11068	b1960	2032585	2033055	-	2030448	2030918	-	1948
W3110_lambdaRed.CDS.1949	JW1944	dcm	ECK1959	EG10211	b1961	2033036	2034454	-	2030899	2032317	-	1949
W3110_lambdaRed.CDS.195	JW5016	yaeF	ECK0193	EG12138	b0193	216179	217003	-	216179	217003	-	195
W3110_lambdaRed.CDS.1950	JW1945	yedJ	ECK1960	EG12710	b1962	2034521	2035216	-	2032384	2033079	-	1950
W3110_lambdaRed.CDS.1951	JW1946	yedR	ECK1961	G7051	b1963	2035256	2035621	-	2033119	2033484	-	1951
W3110_lambdaRed.CDS.1952	ECK1962:JW5319+JW1948+JW1	ECK1962:JW5319+JW1948+JW1	NIL	NIL	NIL	2036188	2037380	+	NIL	NIL	NIL	1952
W3110_lambdaRed.CDS.1956	JW1950	hchA	ECK1963	G7055	b1967	2037972	2038823	+	2035835	2036686	+	1956
W3110_lambdaRed.CDS.1870	JW1867	flhE	ECK1879	G7027	b1878	1964294	1964686	-	1962580	1962972	-	1870
W3110_lambdaRed.CDS.1869	JW5310	yecT	ECK1878	G7026	b1877	1963686	1964174	+	1961972	1962460	+	1869
W3110_lambdaRed.CDS.1747	JW1749	ynjH	ECK1758	G6955	b1760	1843577	1843849	-	1841863	1842135	-	1747
W3110_lambdaRed.CDS.1778	JW1780	yeaN	ECK1789	G6977	b1791	1877387	1878568	+	1875673	1876854	+	1778
W3110_lambdaRed.CDS.178	JW0172	bamA	ECK0176	G6093	b0177	197928	200360	+	197928	200360	+	178
W3110_lambdaRed.CDS.1780	JW1782	yoaF	ECK1791	G6979	b1793	1878992	1879246	-	1877278	1877532	-	1780
W3110_lambdaRed.CDS.97	JW0097	mutT	ECK0100	EG10626	b0099	111044	111433	+	111044	111433	+	97
W3110_lambdaRed.CDS.1783	JW1784	yeaQ	ECK1793	G6981	b1795	1880721	1880969	-	1879007	1879255	-	1783
W3110_lambdaRed.CDS.1784	JW1785	yoaG	ECK1794	G6982	b1796	1881117	1881299	-	1879403	1879585	-	1784
W3110_lambdaRed.CDS.1785	JW1786	yeaR	ECK1795	G6983	b1797	1881303	1881662	-	1879589	1879948	-	1785
W3110_lambdaRed.CDS.1787	JW1787	leuE	ECK1796	G6984	b1798	1881835	1882473	-	1880121	1880759	-	1787
W3110_lambdaRed.CDS.1788	JW1788	dmlR	ECK1797	G6985	b1799	1882600	1883523	-	1880886	1881809	-	1788
W3110_lambdaRed.CDS.1789	JW1789	dmlA	ECK1798	G6986	b1800	1883626	1884711	+	1881912	1882997	+	1789
W3110_lambdaRed.CDS.179	JW0173	skp	ECK0177	EG10455	b0178	200482	200967	+	200482	200967	+	179
W3110_lambdaRed.CDS.969	JW0947	yccT	ECK0955	G6498	b0964	1027533	1028195	-	1027111	1027773	-	969
W3110_lambdaRed.CDS.1791	JW5294	yeaW	ECK1800	G6988	b1802	1886379	1887503	+	1884665	1885789	+	1791
W3110_lambdaRed.CDS.1792	JW1792	yeaX	ECK1801	G6989	b1803	1887559	1888524	+	1885845	1886810	+	1792
W3110_lambdaRed.CDS.1793	JW1793	rnd	ECK1802	EG10858	b1804	1888578	1889705	-	1886864	1887991	-	1793
W3110_lambdaRed.CDS.1794	JW1794	fadD	ECK1803	EG11530	b1805	1889775	1891460	-	1888061	1889746	-	1794
W3110_lambdaRed.CDS.1795	JW1795	yeaY	ECK1804	G6990	b1806	1891665	1892246	-	1889951	1890532	-	1795
W3110_lambdaRed.CDS.1796	JW1796	tsaB	ECK1805	G6991	b1807	1892286	1892981	-	1890572	1891267	-	1796
W3110_lambdaRed.CDS.1797	JW1797	yoaA	ECK1806	G6992	b1808	1893039	1894949	-	1891325	1893235	-	1797
W3110_lambdaRed.CDS.1798	JW5295	yoaB	ECK1807	G6993	b1809	1895081	1895425	+	1893367	1893711	+	1798
W3110_lambdaRed.CDS.18	JW0022	rpsT	ECK0024	EG10919	b0023	20815	21078	-	20815	21078	-	18
W3110_lambdaRed.CDS.180	JW0174	lpxD	ECK0178	EG10316	b0179	200971	201996	+	200971	201996	+	180
W3110_lambdaRed.CDS.1800	JW5296	yoaC	ECK1808	G6994	b1810	1895787	1896146	+	1894133	1894432	+	1800
W3110_lambdaRed.CDS.1801	JW1800	yoaH	ECK1809	G6995	b1811	1896266	1896445	-	1894552	1894731	-	1801
W3110_lambdaRed.CDS.1802	JW1801	pabB	ECK1810	EG10683	b1812	1896519	1897880	+	1894805	1896166	+	1802
W3110_lambdaRed.CDS.1803	JW1802	nudL	ECK1811	EG12693	b1813	1897884	1898462	+	1896170	1896748	+	1803
W3110_lambdaRed.CDS.1804	JW1803	sdaA	ECK1812	NIL	NIL	1898646	1900010	+	NIL	NIL	NIL	1804
W3110_lambdaRed.CDS.1805	JW1804	yoaD	ECK1813	G6996	b1815	1900141	1901739	+	1898427	1900025	+	1805
W3110_lambdaRed.CDS.1806	JW1805	yoaE	ECK1814	G6997	b1816	1901743	1903299	-	1900029	1901585	-	1806
W3110_lambdaRed.CDS.1807	JW1806	manX	ECK1815	EG10567	b1817	1903762	1904733	+	1902048	1903019	+	1807
W3110_lambdaRed.CDS.1779	JW1781	yeaO	ECK1790	G6978	b1792	1878623	1878970	+	1876909	1877256	+	1779
W3110_lambdaRed.CDS.971	JW5130	yccU	ECK0956	G6499	b0965	1028368	1028781	+	1027946	1028359	+	971
W3110_lambdaRed.CDS.1868	JW1865	argS	ECK1877	EG10071	b1876	1961776	1963509	+	1960062	1961795	+	1868
W3110_lambdaRed.CDS.1776	JW1778	yeaL	ECK1787	G6975	b1789	1876066	1876512	+	1874352	1874798	+	1776
W3110_lambdaRed.CDS.1749	JW1750	gdhA	ECK1759	EG10372	b1761	1844085	1845428	+	1842371	1843714	+	1749
W3110_lambdaRed.CDS.1750	JW5288	ynjI	ECK1760	G6956	b1762	1845545	1846585	-	1843831	1844871	-	1750
W3110_lambdaRed.CDS.1751	JW1752	topB	ECK1761	EG11014	b1763	1846713	1848674	-	1844999	1846960	-	1751
W3110_lambdaRed.CDS.1752	JW1753	selD	ECK1762	EG10943	b1764	1848679	1849722	-	1846965	1848008	-	1752
W3110_lambdaRed.CDS.1753	JW1754	ydjA	ECK1763	EG11134	b1765	1849839	1850390	-	1848125	1848676	-	1753
W3110_lambdaRed.CDS.1754	JW1755	sppA	ECK1764	EG10968	b1766	1850551	1852407	+	1848837	1850693	+	1754
W3110_lambdaRed.CDS.1755	JW1756	ansA	ECK1765	EG10045	b1767	1852574	1853590	+	1850860	1851876	+	1755
W3110_lambdaRed.CDS.1756	JW1757	pncA	ECK1766	EG11135	b1768	1853601	1854242	+	1851887	1852528	+	1756
W3110_lambdaRed.CDS.1757	JW1758	ydjE	ECK1767	EG12369	b1769	1854335	1855693	-	1852621	1853979	-	1757
W3110_lambdaRed.CDS.1758	JW1759	ydjF	ECK1768	G6957	b1770	1855810	1856568	-	1854096	1854854	-	1758
W3110_lambdaRed.CDS.1759	JW1760	ydjG	ECK1769	G6958	b1771	1856705	1857685	-	1854991	1855971	-	1759
W3110_lambdaRed.CDS.176	JW5810	cdsA	ECK0174	EG10139	b0175	195677	196534	+	195677	196534	+	176
W3110_lambdaRed.CDS.1760	JW5289	ydjH	ECK1770	G6959	b1772	1857695	1858642	-	1855981	1856928	-	1760
W3110_lambdaRed.CDS.1761	JW1762	ydjI	ECK1771	G6960	b1773	1858647	1859483	-	1856933	1857769	-	1761
W3110_lambdaRed.CDS.1762	JW1763	ydjJ	ECK1772	G6961	b1774	1859504	1860547	-	1857790	1858833	-	1762
W3110_lambdaRed.CDS.1763	JW5290	ydjK	ECK1773	G6962	b1775	1860564	1861943	-	1858850	1860229	-	1763
W3110_lambdaRed.CDS.1764	JW1765	ydjL	ECK1774	G6963	b1776	1861970	1863046	-	1860256	1861332	-	1764
W3110_lambdaRed.CDS.1765	JW1766	yeaC	ECK1775	G6964	b1777	1863416	1863688	-	1861702	1861974	-	1765
W3110_lambdaRed.CDS.1766	JW1767	msrB	ECK1776	EG12394	b1778	1863730	1864143	-	1862016	1862429	-	1766
W3110_lambdaRed.CDS.1767	JW1768	gapA	ECK1777	EG10367	b1779	1864485	1865480	+	1862771	1863766	+	1767
W3110_lambdaRed.CDS.1768	JW1769	yeaD	ECK1778	G6966	b1780	1865564	1866448	+	1863850	1864734	+	1768
W3110_lambdaRed.CDS.1769	JW1770	yeaE	ECK1779	G6967	b1781	1866496	1867350	-	1864782	1865636	-	1769
W3110_lambdaRed.CDS.177	JW0171	rseP	ECK0175	EG12436	b0176	196546	197898	+	196546	197898	+	177
W3110_lambdaRed.CDS.1770	JW1771	mipA	ECK1780	G6968	b1782	1867440	1868186	-	1865726	1866472	-	1770
W3110_lambdaRed.CDS.1771	JW1772	yeaG	ECK1781	G6969	b1783	1868622	1870556	+	1866908	1868842	+	1771
W3110_lambdaRed.CDS.1772	JW1773	yeaH	ECK1782	G6970	b1784	1870669	1871952	+	1868955	1870238	+	1772
W3110_lambdaRed.CDS.1773	JW1774	yeaI	ECK1783	G6971	b1785	1872099	1873574	+	1870385	1871860	+	1773
W3110_lambdaRed.CDS.1774	JW5291	yeaJ	ECK1784	G6972	b1786	1873755	1875245	+	1872041	1873531	+	1774
W3110_lambdaRed.CDS.1775	JW1776	yeaK	ECK1785	G6973	b1787	1875288	1875791	+	1873574	1874077	+	1775
W3110_lambdaRed.CDS.1808	JW1807	manY	ECK1816	EG10568	b1818	1904796	1905596	+	1903082	1903882	+	1808
W3110_lambdaRed.CDS.1809	JW1808	manZ	ECK1817	EG10569	b1819	1905600	1906460	+	1903895	1904746	+	1809
W3110_lambdaRed.CDS.181	JW0175	fabZ	ECK0179	EG11284	b0180	202101	202556	+	202101	202556	+	181
W3110_lambdaRed.CDS.1810	JW1809	yobD	ECK1818	G6998	b1820	1906515	1906973	+	1904801	1905259	+	1810
W3110_lambdaRed.CDS.1840	JW1838	purT	ECK1850	EG11809	b1849	1932595	1933773	+	1930881	1932059	+	1840
W3110_lambdaRed.CDS.1841	JW1839	eda	ECK1851	EG10256	b1850	1933829	1934470	-	1932115	1932756	-	1841
W3110_lambdaRed.CDS.1842	JW1840	edd	ECK1852	EG10257	b1851	1934507	1936318	-	1932793	1934604	-	1842
W3110_lambdaRed.CDS.1843	JW1841	zwf	ECK1853	EG11221	b1852	1936553	1938028	-	1934839	1936314	-	1843
W3110_lambdaRed.CDS.1845	JW1842	yebK	ECK1854	EG12860	b1853	1938366	1939235	+	1936652	1937521	+	1845
W3110_lambdaRed.CDS.1846	JW1843	pykA	ECK1855	EG10803	b1854	1939363	1940805	+	1937649	1939091	+	1846
W3110_lambdaRed.CDS.1847	JW1844	lpxM	ECK1856	EG10614	b1855	1940936	1941907	-	1939222	1940193	-	1847
W3110_lambdaRed.CDS.1848	JW5304	mepM	ECK1857	EG10013	b1856	1942027	1943349	-	1940313	1941635	-	1848
W3110_lambdaRed.CDS.1849	JW5831	znuA	ECK1858	G7017	b1857	1943365	1944297	-	1941651	1942583	-	1849
W3110_lambdaRed.CDS.185	JW0179	dnaE	ECK0183	EG10238	b0184	205126	208608	+	205126	208608	+	185
W3110_lambdaRed.CDS.1850	JW1847	znuC	ECK1859	G7018	b1858	1944376	1945131	+	1942662	1943417	+	1850
W3110_lambdaRed.CDS.1851	JW1848	znuB	ECK1860	EG12368	b1859	1945128	1945913	+	1943414	1944199	+	1851
W3110_lambdaRed.CDS.1852	JW1849	ruvB	ECK1861	RUVB	b1860	1946060	1947070	-	1944346	1945356	-	1852
W3110_lambdaRed.CDS.1853	JW1850	ruvA	ECK1862	RUVA	b1861	1947079	1947690	-	1945365	1945976	-	1853
W3110_lambdaRed.CDS.1854	JW5306	yebB	ECK1863	EG11136	b1862	1947965	1948567	+	1946251	1946853	+	1854
W3110_lambdaRed.CDS.1855	JW1852	ruvC	ECK1864	EG10925	b1863	1948569	1949090	-	1946855	1947376	-	1855
W3110_lambdaRed.CDS.1856	JW1853	yebC	ECK1865	EG11137	b1864	1949125	1949865	-	1947411	1948151	-	1856
W3110_lambdaRed.CDS.967	JW0945	helD	ECK0953	EG10426	b0962	1024893	1026947	+	1024471	1026525	+	967
W3110_lambdaRed.CDS.966	JW0944	yccF	ECK0952	G6496	b0961	1024324	1024770	-	1023902	1024348	-	966
W3110_lambdaRed.CDS.1859	JW5307	yecD	ECK1868	EG12378	b1867	1952546	1953112	+	1950832	1951398	+	1859
W3110_lambdaRed.CDS.186	JW0180	accA	ECK0184	EG11647	b0185	208621	209580	+	208621	209580	+	186
W3110_lambdaRed.CDS.1860	JW1857	yecE	ECK1869	EG12379	b1868	1953109	1953927	+	1951395	1952213	+	1860
W3110_lambdaRed.CDS.1861	JW5308	yecN	ECK1870	G7019	b1869	1953980	1954375	+	1952266	1952661	+	1861
W3110_lambdaRed.CDS.1862	JW1859	cmoA	ECK1871	G7020	b1870	1954416	1955159	+	1952702	1953445	+	1862
W3110_lambdaRed.CDS.1863	JW1860	cmoB	ECK1872	G7021	b1871	1955156	1956127	+	1953442	1954413	+	1863
W3110_lambdaRed.CDS.1864	JW1861	torZ	ECK1873	EG11814	b0997	1956292	1958721	-	1059256	1061802	+	1864
W3110_lambdaRed.CDS.1865	JW1862	torY	ECK1874	G7023	b1873	1958746	1959846	-	1957032	1958132	-	1865
W3110_lambdaRed.CDS.1866	JW1863	cutC	ECK1875	G7024	b1874	1960234	1960980	-	1958520	1959266	-	1866
W3110_lambdaRed.CDS.1867	JW5309	yecM	ECK1876	G7025	b1875	1960994	1961560	-	1959280	1959846	-	1867
W3110_lambdaRed.CDS.184	JW0178	rnhB	ECK0182	EG10861	b0183	204493	205089	+	204493	205089	+	184
W3110_lambdaRed.CDS.1839	JW1837	yebG	ECK1849	EG11808	b1848	1932171	1932461	-	1930457	1930747	-	1839
W3110_lambdaRed.CDS.1838	JW1836	yebF	ECK1848	EG11807	b1847	1931748	1932116	-	1930034	1930390	-	1838
W3110_lambdaRed.CDS.1823	JW1821	msrC	ECK1831	G7005	b1832	1917345	1917896	-	1915631	1916128	-	1823
W3110_lambdaRed.CDS.1811	JW5830	mntP	ECK1819	G6999	b1821	1907402	1907968	+	1905688	1906254	+	1811
W3110_lambdaRed.CDS.1812	JW1811	rlmA	ECK1820	EG12207	b1822	1907965	1908774	-	1906251	1907060	-	1812
W3110_lambdaRed.CDS.1813	JW1812	cspC	ECK1821	EG12204	b1823	1908940	1909149	-	1907226	1907435	-	1813
W3110_lambdaRed.CDS.1814	JW1813	yobF	ECK1822	G7000	b1824	1909162	1909305	-	1907448	1907591	-	1814
W3110_lambdaRed.CDS.1815	JW1814	yebO	ECK1823	G7001	b1825	1909975	1910262	-	1908261	1908548	-	1815
W3110_lambdaRed.CDS.1816	JW1815	mgrB	ECK1824	G7002	b1826	1910337	1910480	-	1908623	1908766	-	1816
W3110_lambdaRed.CDS.1817	JW5298	yobH	ECK1825	G0-10454	b4536	1910639	1910878	+	1908925	1909164	+	1817
W3110_lambdaRed.CDS.1818	JW1816	kdgR	ECK1826	G7003	b1827	1911022	1911813	-	1909308	1910099	-	1818
W3110_lambdaRed.CDS.1819	JW5299	yebQ	ECK1827	G7004	b1828	1911990	1913363	+	1910276	1911649	+	1819
W3110_lambdaRed.CDS.182	JW0176	lpxA	ECK0180	EG10545	b0181	202560	203348	+	202560	203348	+	182
W3110_lambdaRed.CDS.1820	JW1818	htpX	ECK1828	EG10462	b1829	1913409	1914290	-	1911695	1912576	-	1820
W3110_lambdaRed.CDS.1821	JW1819	prc	ECK1829	EG10760	b1830	1914482	1916530	-	1912768	1914816	-	1821
W3110_lambdaRed.CDS.1822	JW5300	proQ	ECK1830	EG12866	b1831	1916550	1917248	-	1914836	1915534	-	1822
W3110_lambdaRed.CDS.968	JW5129	mgsA	ECK0954	G6497	b0963	1026979	1027437	-	1026557	1027015	-	968
W3110_lambdaRed.CDS.1837	JW1835	yebE	ECK1847	EG11806	b1846	1930762	1931421	-	1929048	1929707	-	1837
W3110_lambdaRed.CDS.1825	JW1823	yebT	ECK1833	G7007	b1834	1919224	1921857	+	1917510	1920143	+	1825
W3110_lambdaRed.CDS.1826	JW5301	rsmF	ECK1834	G7008	b1835	1921937	1923376	+	1920223	1921662	+	1826
W3110_lambdaRed.CDS.1827	JW5302	yebV	ECK1835	G7009	b1836	1923494	1923730	+	1921780	1922016	+	1827
W3110_lambdaRed.CDS.1828	JW5303	yebW	ECK1836	G7010	b1837	1923835	1924026	+	1922121	1922312	+	1828
W3110_lambdaRed.CDS.1829	JW1827	pphA	ECK1837	G7011	b1838	1924027	1924683	-	1922313	1922969	-	1829
W3110_lambdaRed.CDS.183	JW0177	lpxB	ECK0181	EG10546	b0182	203348	204496	+	203348	204496	+	183
W3110_lambdaRed.CDS.1830	JW1828	yebY	ECK1840	G7012	b1839	1925079	1925420	-	1923365	1923706	-	1830
W3110_lambdaRed.CDS.1831	JW1829	yebZ	ECK1841	G7013	b1840	1925433	1926305	-	1923719	1924591	-	1831
W3110_lambdaRed.CDS.1832	JW1830	yobA	ECK1842	G7014	b1841	1926309	1926683	-	1924595	1924969	-	1832
W3110_lambdaRed.CDS.1833	JW1831	holE	ECK1843	EG11505	b1842	1926822	1927052	+	1925108	1925338	+	1833
W3110_lambdaRed.CDS.1834	JW1832	yobB	ECK1844	G7015	b1843	1927154	1927810	+	1925440	1926096	+	1834
W3110_lambdaRed.CDS.1835	JW1833	exoX	ECK1845	G7016	b1844	1927834	1928496	+	1926120	1926782	+	1835
W3110_lambdaRed.CDS.1836	JW1834	ptrB	ECK1846	EG11004	b1845	1928493	1930553	-	1926779	1928839	-	1836
W3110_lambdaRed.CDS.1497	JW1506	lsrA	ECK1506	G6800	b1513	1603204	1604739	+	1601490	1603025	+	1497
W3110_lambdaRed.CDS.1495	JW1504	lsrK	ECK1504	G6798	b1511	1600331	1601923	-	1598617	1600209	-	1495
W3110_lambdaRed.CDS.1988	JW1985	yeeT	ECK1996	G7083	b2003	2078954	2079175	+	2076817	2077038	+	1988
W3110_lambdaRed.CDS.1158	JW5184	cvrA	ECK1179	G6620	b1191	1241912	1243648	-	1240335	1242071	-	1158
W3110_lambdaRed.CDS.116	JW0116	speD	ECK0119	EG10962	b0120	134788	135582	-	134788	135582	-	116
W3110_lambdaRed.CDS.1160	JW5821	emtA	ECK1181	G6622	b1193	1244757	1245368	+	1243180	1243791	+	1160
W3110_lambdaRed.CDS.1161	JW1183	ycgR	ECK1182	G6623	b1194	1245370	1246104	-	1243793	1244527	-	1161
W3110_lambdaRed.CDS.1162	JW1184	ymgE	ECK1183	G6624	b1195	1246305	1246559	+	1244728	1244982	+	1162
W3110_lambdaRed.CDS.99	JW0099	zapD	ECK0102	EG12313	b0102	111856	112599	-	111856	112599	-	99
W3110_lambdaRed.CDS.1164	JW1186	treA	ECK1185	EG11017	b1197	1247256	1248953	-	1245679	1247376	-	1164
