,gene,Step,E_coli_W3110
b4185,yjfM,18,W3110_lambdaRed.CDS.4211
b4186,yjfC,18,W3110_lambdaRed.CDS.4212
b4187,aidB,18,W3110_lambdaRed.CDS.4213
b4188,yjfN,18,W3110_lambdaRed.CDS.4214
b4189,yjfO,18,W3110_lambdaRed.CDS.4215
b4190,yjfP,18,W3110_lambdaRed.CDS.4216
b4191,ulaR,18,W3110_lambdaRed.CDS.4217
b4192,ulaG,18,W3110_lambdaRed.CDS.4218
b4193,ulaA,18,W3110_lambdaRed.CDS.4219
b4194,ulaB,18,W3110_lambdaRed.CDS.4220
b4195,ulaC,18,W3110_lambdaRed.CDS.4221
b4196,ulaD,18,W3110_lambdaRed.CDS.4222
b4197,ulaE,18,W3110_lambdaRed.CDS.4223
b4198,ulaF,18,W3110_lambdaRed.CDS.4224
b4271,intB,16,W3110_lambdaRed.CDS.4294
b4272,insC,16,
b4273,insD,16,
b4274,yjgW,16,
b4277,yjgZ,16,
b4278,insG,16,W3110_lambdaRed.CDS.4301
b4279,yjhB,16,W3110_lambdaRed.CDS.4302
b4280,yjhC,16,W3110_lambdaRed.CDS.4303
b4283,insN,16,W3110_lambdaRed.CDS.4306
b4284,insI,16,W3110_lambdaRed.CDS.4307
b4284,insI,16,W3110_lambdaRed.CDS.1384
b4286,yjhV,16,W3110_lambdaRed.CDS.4310
b4294,insA,16,
b4295,yjhU,16,W3110_lambdaRed.CDS.4321
b4296,yjhF,16,W3110_lambdaRed.CDS.4323
b4297,yjhG,16,W3110_lambdaRed.CDS.4324
b4298,yjhH,16,W3110_lambdaRed.CDS.4325
b4299,yjhI,16,W3110_lambdaRed.CDS.4326
b4300,sgcR,16,W3110_lambdaRed.CDS.4327
b4301,sgcE,16,W3110_lambdaRed.CDS.4328
b4302,sgcA,16,W3110_lambdaRed.CDS.4329
b4303,sgcQ,16,W3110_lambdaRed.CDS.4330
b4304,sgcC,16,W3110_lambdaRed.CDS.4331
b4305,sgcX,16,W3110_lambdaRed.CDS.4333
b4306,yjhP,16,W3110_lambdaRed.CDS.4334
b4307,yjhQ,16,W3110_lambdaRed.CDS.4335
b4308,yjhR,16,W3110_lambdaRed.CDS.4339
b4309,yjhS,16,W3110_lambdaRed.CDS.4340
b4310,yjhT,16,W3110_lambdaRed.CDS.4341
b4311,yjhA,16,W3110_lambdaRed.CDS.4342
b4312,fimB,16,W3110_lambdaRed.CDS.4344
b4313,fimE,16,W3110_lambdaRed.CDS.4345
b4314,fimA,16,W3110_lambdaRed.CDS.4346
b4315,fimI,16,W3110_lambdaRed.CDS.4347
b4316,fimC,16,W3110_lambdaRed.CDS.4348
b4317,fimD,16,W3110_lambdaRed.CDS.4349
b4318,fimF,16,W3110_lambdaRed.CDS.4350
b4319,fimG,16,W3110_lambdaRed.CDS.4351
b4320,fimH,16,W3110_lambdaRed.CDS.4352
b4321,gntP,16,W3110_lambdaRed.CDS.4353
b4322,uxuA,16,W3110_lambdaRed.CDS.4354
b4323,uxuB,16,W3110_lambdaRed.CDS.4355
b4324,uxuR,16,W3110_lambdaRed.CDS.4356
b4325,yjiC,16,W3110_lambdaRed.CDS.4357
b4326,yjiD,16,W3110_lambdaRed.CDS.4360
b4327,yjiE,16,W3110_lambdaRed.CDS.4361
b4328,iadA,16,W3110_lambdaRed.CDS.4362
b4329,yjiG,16,W3110_lambdaRed.CDS.4363
b4330,yjiH,16,W3110_lambdaRed.CDS.4364
b4331,kptA,16,W3110_lambdaRed.CDS.4366
b4332,yjiJ,16,W3110_lambdaRed.CDS.4367
b4333,yjiK,16,W3110_lambdaRed.CDS.4368
b4334,yjiL,16,W3110_lambdaRed.CDS.4370
b4335,yjiM,16,W3110_lambdaRed.CDS.4371
b4336,yjiN,16,W3110_lambdaRed.CDS.4372
b4337,yjiO,16,W3110_lambdaRed.CDS.4373
b4339,yjiQ,16,
b4340,yjiR,16,W3110_lambdaRed.CDS.4377
b4341,yjiS,16,W3110_lambdaRed.CDS.4378
b4342,yjiT,16,W3110_lambdaRed.CDS.4379
b4345,mcrC,16,W3110_lambdaRed.CDS.4382
b4346,mcrB,16,W3110_lambdaRed.CDS.4383
b4347,yjiW,16,W3110_lambdaRed.CDS.4384
b4348,hsdS,16,W3110_lambdaRed.CDS.4385
b4349,hsdM,16,W3110_lambdaRed.CDS.4386
b4350,hsdR,16,W3110_lambdaRed.CDS.4387
b4351,mrr,16,W3110_lambdaRed.CDS.4388
b4352,yjiA,16,W3110_lambdaRed.CDS.4389
b4353,yjiX,16,W3110_lambdaRed.CDS.4390
b4354,yjiY,16,W3110_lambdaRed.CDS.4391
b4355,tsr,16,W3110_lambdaRed.CDS.4392
b4356,yjiZ,16,W3110_lambdaRed.CDS.4393
b4357,yjjM,16,W3110_lambdaRed.CDS.4394
b4358,yjjN,16,W3110_lambdaRed.CDS.4395
b4359,mdoB,16,
b4360,yjjA,16,W3110_lambdaRed.CDS.4397
b4415,hokE,6,W3110_lambdaRed.CDS.583
b4460,araH,11,W3110_lambdaRed.CDS.1891
b4462,ygaR,12,
b4464,ygfQ,8,W3110_lambdaRed.CDS.2881
b4466,yghJ,2,W3110_lambdaRed.CDS.2972
b4467,glcF,2,W3110_lambdaRed.CDS.2977
b4468,glcE,2,W3110_lambdaRed.CDS.2978
b4474,frlC,29,W3110_lambdaRed.CDS.3925
b4477,dgoA,10,W3110_lambdaRed.CDS.3587
b4478,dgoD,10,W3110_lambdaRed.CDS.3588
b4479,dgoR,10,W3110_lambdaRed.CDS.3585
b4504,ykfH,9,W3110_lambdaRed.CDS.242
b4505,ykgN,9,W3110_lambdaRed.CDS.262
b4506,ykgM,9,W3110_lambdaRed.CDS.292
b4509,ylcG,6,W3110_lambdaRed.CDS.550
b4510,rzoD,6,
b4513,kdpF,17,W3110_lambdaRed.CDS.702
b4514,ybfQ,17,
b4516,insA,1,
b4517,gnsA,1,
b4518,ymdF,1,
b4520,ymgF,4,W3110_lambdaRed.CDS.1130
b4521,ymgH,4,
b4533,ynfO,5,W3110_lambdaRed.CDS.1536
b4537,yecJ,11,W3110_lambdaRed.CDS.1895
b4538,yoeF,11,
b4541,yehK,14,
b4542,yohO,14,
b4545,ypdJ,23,
b4548,ypjJ,12,
b4555,yicS,29,W3110_lambdaRed.CDS.3620
b4565,sgcB,16,W3110_lambdaRed.CDS.4332
b4566,yjhX,16,W3110_lambdaRed.CDS.4336
unique to W3110,insH,11,
unique to W3110,insH,14,
unique to W3110,insH,29,
